<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.27	13:59:00	2038.41	2038.45	2038.11	2038.24	90	0	0
2024.02.27	14:00:00	2038.30	2038.57	2038.28	2038.52	84	0	0
2024.02.27	14:01:00	2038.47	2038.47	2038.26	2038.27	62	0	0
2024.02.27	14:02:00	2038.28	2038.81	2038.28	2038.76	40	0	0
2024.02.27	14:03:00	2038.81	2039.05	2038.75	2039.05	52	0	0
2024.02.27	14:04:00	2039.06	2039.16	2038.29	2038.36	125	0	0
2024.02.27	14:05:00	2038.42	2038.49	2037.73	2038.01	136	0	0
2024.02.27	14:06:00	2038.06	2038.17	2037.82	2037.98	178	0	0
2024.02.27	14:07:00	2037.98	2038.29	2037.89	2038.19	89	0	0
2024.02.27	14:08:00	2038.17	2038.46	2037.97	2038.37	79	0	0
2024.02.27	14:09:00	2038.34	2038.45	2038.30	2038.44	71	0	0
2024.02.27	14:10:00	2038.42	2038.55	2038.34	2038.35	74	0	0
2024.02.27	14:11:00	2038.36	2038.36	2038.00	2038.07	94	0	0
2024.02.27	14:12:00	2038.05	2038.48	2037.97	2038.48	72	0	0
2024.02.27	14:13:00	2038.39	2038.48	2038.22	2038.48	58	0	0
2024.02.27	14:14:00	2038.47	2038.54	2038.37	2038.50	77	0	0
2024.02.27	14:15:00	2038.49	2038.53	2038.36	2038.40	98	0	0
2024.02.27	14:16:00	2038.40	2038.60	2038.40	2038.40	61	0	0
2024.02.27	14:17:00	2038.39	2038.39	2037.99	2038.13	48	0	0
2024.02.27	14:18:00	2038.12	2038.22	2037.96	2037.98	55	0	0
2024.02.27	14:19:00	2037.99	2037.99	2037.88	2037.97	57	0	0
2024.02.27	14:20:00	2037.98	2038.00	2037.78	2037.98	84	0	0
2024.02.27	14:21:00	2037.93	2037.93	2037.60	2037.77	70	0	0
2024.02.27	14:22:00	2037.78	2037.80	2037.64	2037.64	47	0	0
2024.02.27	14:23:00	2037.57	2037.68	2037.51	2037.51	46	0	0
2024.02.27	14:24:00	2037.49	2037.94	2037.48	2037.91	98	0	0
